season,game_date,season_type,away_team,home_team,matchup
2018-19,2018-09-28,preseason,Boston Celtics,Charlotte Hornets,BOS@CHA
2018-19,2018-09-29,preseason,Minnesota Timberwolves,Golden State Warriors,MIN@GSW
2018-19,2018-09-29,preseason,Portland Trail Blazers,Toronto Raptors,POR@TOR
2018-19,2018-09-30,preseason,Charlotte Hornets,Boston Celtics,CHA@BOS
2018-19,2018-09-30,preseason,Denver Nuggets,Los Angeles Lakers,DEN@LAL
2018-19,2018-09-30,preseason,Miami Heat,San Antonio Spurs,MIA@SAS
2018-19,2018-09-30,preseason,New Orleans Pelicans,Chicago Bulls,NOP@CHI
2018-19,2018-10-01,preseason,New Orleans Pelicans,Atlanta Hawks,NOP@ATL
2018-19,2018-10-01,preseason,New York Knicks,Washington Wizards,NYK@WAS
2018-19,2018-10-01,preseason,Orlando Magic,Philadelphia 76ers,ORL@PHI
2018-19,2018-10-01,preseason,Sacramento Kings,Phoenix Suns,SAC@PHX
2018-19,2018-10-02,preseason,Cleveland Cavaliers,Boston Celtics,CLE@BOS
2018-19,2018-10-02,preseason,Denver Nuggets,Los Angeles Lakers,DEN@LAL
2018-19,2018-10-02,preseason,Memphis Grizzlies,Houston Rockets,MEM@HOU
2018-19,2018-10-02,preseason,Miami Heat,Charlotte Hornets,MIA@CHA
2018-19,2018-10-02,preseason,Toronto Raptors,Utah Jazz,TOR@UTA
2018-19,2018-10-03,preseason,Chicago Bulls,Milwaukee Bucks,CHI@MIL
2018-19,2018-10-03,preseason,Detroit Pistons,Oklahoma City Thunder,DET@OKC
2018-19,2018-10-03,preseason,Minnesota Timberwolves,LA Clippers,MIN@LAC
2018-19,2018-10-03,preseason,New York Knicks,Brooklyn Nets,NYK@BKN
2018-19,2018-10-04,preseason,Indiana Pacers,Houston Rockets,IND@HOU
2018-19,2018-10-04,preseason,Sacramento Kings,Los Angeles Lakers,SAC@LAL
2018-19,2018-10-05,preseason,Atlanta Hawks,Memphis Grizzlies,ATL@MEM
2018-19,2018-10-05,preseason,Detroit Pistons,San Antonio Spurs,DET@SAS
2018-19,2018-10-05,preseason,Miami Heat,Washington Wizards,MIA@WAS
2018-19,2018-10-05,preseason,New Orleans Pelicans,New York Knicks,NOP@NYK
2018-19,2018-10-05,preseason,Oklahoma City Thunder,Minnesota Timberwolves,OKC@MIN
2018-19,2018-10-05,preseason,Philadelphia 76ers,Dallas Mavericks,PHI@DAL
2018-19,2018-10-05,preseason,Portland Trail Blazers,Phoenix Suns,POR@PHX
2018-19,2018-10-05,preseason,Sacramento Kings,Golden State Warriors,SAC@GSW
2018-19,2018-10-06,preseason,Boston Celtics,Cleveland Cavaliers,BOS@CLE
2018-19,2018-10-06,preseason,Indiana Pacers,Memphis Grizzlies,IND@MEM
2018-19,2018-10-06,preseason,LA Clippers,Los Angeles Lakers,LAC@LAL
2018-19,2018-10-07,preseason,Atlanta Hawks,Oklahoma City Thunder,ATL@OKC
2018-19,2018-10-07,preseason,Houston Rockets,San Antonio Spurs,HOU@SAS
2018-19,2018-10-07,preseason,Milwaukee Bucks,Minnesota Timberwolves,MIL@MIN
2018-19,2018-10-07,preseason,Utah Jazz,Portland Trail Blazers,UTA@POR
2018-19,2018-10-08,preseason,Brooklyn Nets,Detroit Pistons,BKN@DET
2018-19,2018-10-08,preseason,Chicago Bulls,Charlotte Hornets,CHI@CHA
2018-19,2018-10-08,preseason,Dallas Mavericks,Philadelphia 76ers,DAL@PHI
2018-19,2018-10-08,preseason,Indiana Pacers,Cleveland Cavaliers,IND@CLE
2018-19,2018-10-08,preseason,Orlando Magic,Miami Heat,ORL@MIA
2018-19,2018-10-08,preseason,Phoenix Suns,Golden State Warriors,PHX@GSW
2018-19,2018-10-08,preseason,Washington Wizards,New York Knicks,WAS@NYK
2018-19,2018-10-09,preseason,Denver Nuggets,LA Clippers,DEN@LAC
2018-19,2018-10-09,preseason,Milwaukee Bucks,Oklahoma City Thunder,MIL@OKC
2018-19,2018-10-10,preseason,Brooklyn Nets,Toronto Raptors,BKN@TOR
2018-19,2018-10-10,preseason,Golden State Warriors,Los Angeles Lakers,GSW@LAL
2018-19,2018-10-10,preseason,Indiana Pacers,Chicago Bulls,IND@CHI
2018-19,2018-10-10,preseason,Memphis Grizzlies,Orlando Magic,MEM@ORL
2018-19,2018-10-10,preseason,New Orleans Pelicans,Miami Heat,NOP@MIA
2018-19,2018-10-10,preseason,Phoenix Suns,Portland Trail Blazers,PHX@POR
2018-19,2018-10-10,preseason,San Antonio Spurs,Atlanta Hawks,SAS@ATL
2018-19,2018-10-10,preseason,Washington Wizards,Detroit Pistons,WAS@DET
2018-19,2018-10-11,preseason,Toronto Raptors,New Orleans Pelicans,TOR@NOP
2018-19,2018-10-11,preseason,Utah Jazz,Sacramento Kings,UTA@SAC
2018-19,2018-10-12,preseason,Atlanta Hawks,Miami Heat,ATL@MIA
2018-19,2018-10-12,preseason,Brooklyn Nets,New York Knicks,BKN@NYK
2018-19,2018-10-12,preseason,Charlotte Hornets,Dallas Mavericks,CHA@DAL
2018-19,2018-10-12,preseason,Denver Nuggets,Chicago Bulls,DEN@CHI
2018-19,2018-10-12,preseason,Detroit Pistons,Cleveland Cavaliers,DET@CLE
2018-19,2018-10-12,preseason,Houston Rockets,Memphis Grizzlies,HOU@MEM
2018-19,2018-10-12,preseason,Los Angeles Lakers,Golden State Warriors,LAL@GSW
2018-19,2018-10-12,preseason,Minnesota Timberwolves,Milwaukee Bucks,MIN@MIL
2018-19,2018-10-12,preseason,Sacramento Kings,Portland Trail Blazers,SAC@POR
