season,game_date,season_type,away_team,home_team
2018-19,2018-09-28,preseason,BOS,CHA
2018-19,2018-09-29,preseason,MIN,GSW
2018-19,2018-09-29,preseason,POR,TOR
2018-19,2018-09-30,preseason,CHA,BOS
2018-19,2018-09-30,preseason,DEN,LAL
2018-19,2018-09-30,preseason,MIA,SAS
2018-19,2018-09-30,preseason,NOP,CHI
2018-19,2018-10-01,preseason,NOP,ATL
2018-19,2018-10-01,preseason,NYK,WAS
2018-19,2018-10-01,preseason,ORL,PHI
2018-19,2018-10-01,preseason,SAC,PHX
2018-19,2018-10-02,preseason,CLE,BOS
2018-19,2018-10-02,preseason,DEN,LAL
2018-19,2018-10-02,preseason,MEM,HOU
2018-19,2018-10-02,preseason,MIA,CHA
2018-19,2018-10-02,preseason,TOR,UTA
2018-19,2018-10-03,preseason,CHI,MIL
2018-19,2018-10-03,preseason,DET,OKC
2018-19,2018-10-03,preseason,MIN,LAC
2018-19,2018-10-03,preseason,NYK,BKN
2018-19,2018-10-04,preseason,IND,HOU
2018-19,2018-10-04,preseason,SAC,LAL
2018-19,2018-10-05,preseason,ATL,MEM
2018-19,2018-10-05,preseason,DET,SAS
2018-19,2018-10-05,preseason,MIA,WAS
2018-19,2018-10-05,preseason,NOP,NYK
2018-19,2018-10-05,preseason,OKC,MIN
2018-19,2018-10-05,preseason,PHI,DAL
2018-19,2018-10-05,preseason,POR,PHX
2018-19,2018-10-05,preseason,SAC,GSW
2018-19,2018-10-06,preseason,BOS,CLE
2018-19,2018-10-06,preseason,IND,MEM
2018-19,2018-10-06,preseason,LAC,LAL
2018-19,2018-10-07,preseason,ATL,OKC
2018-19,2018-10-07,preseason,HOU,SAS
2018-19,2018-10-07,preseason,MIL,MIN
2018-19,2018-10-07,preseason,UTA,POR
2018-19,2018-10-08,preseason,BKN,DET
2018-19,2018-10-08,preseason,CHI,CHA
2018-19,2018-10-08,preseason,DAL,PHI
2018-19,2018-10-08,preseason,IND,CLE
2018-19,2018-10-08,preseason,ORL,MIA
2018-19,2018-10-08,preseason,PHX,GSW
2018-19,2018-10-08,preseason,WAS,NYK
2018-19,2018-10-09,preseason,DEN,LAC
2018-19,2018-10-09,preseason,MIL,OKC
2018-19,2018-10-10,preseason,BKN,TOR
2018-19,2018-10-10,preseason,GSW,LAL
2018-19,2018-10-10,preseason,IND,CHI
2018-19,2018-10-10,preseason,MEM,ORL
2018-19,2018-10-10,preseason,NOP,MIA
2018-19,2018-10-10,preseason,PHX,POR
2018-19,2018-10-10,preseason,SAS,ATL
2018-19,2018-10-10,preseason,WAS,DET
2018-19,2018-10-11,preseason,TOR,NOP
2018-19,2018-10-11,preseason,UTA,SAC
2018-19,2018-10-12,preseason,ATL,MIA
2018-19,2018-10-12,preseason,BKN,NYK
2018-19,2018-10-12,preseason,CHA,DAL
2018-19,2018-10-12,preseason,DEN,CHI
2018-19,2018-10-12,preseason,DET,CLE
2018-19,2018-10-12,preseason,HOU,MEM
2018-19,2018-10-12,preseason,LAL,GSW
