SEASON_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL
22023,DEN,Denver Nuggets,0022300061,2023-10-24,DEN vs. LAL,W
22023,GSW,Golden State Warriors,0022300062,2023-10-24,GSW vs. PHX,L
22023,LAL,Los Angeles Lakers,0022300061,2023-10-24,LAL @ DEN,L
22023,PHX,Phoenix Suns,0022300062,2023-10-24,PHX @ GSW,W
22023,NOP,New Orleans Pelicans,0022300071,2023-10-25,NOP @ MEM,W
22023,CHI,Chicago Bulls,0022300070,2023-10-25,CHI vs. OKC,L
22023,HOU,Houston Rockets,0022300066,2023-10-25,HOU @ ORL,L
22023,LAC,LA Clippers,0022300074,2023-10-25,LAC vs. POR,W
22023,MIA,Miami Heat,0022300068,2023-10-25,MIA vs. DET,W
22023,BKN,Brooklyn Nets,0022300067,2023-10-25,BKN vs. CLE,L
22023,NYK,New York Knicks,0022300065,2023-10-25,NYK vs. BOS,L
22023,ORL,Orlando Magic,0022300066,2023-10-25,ORL vs. HOU,W
22023,SAC,Sacramento Kings,0022300072,2023-10-25,SAC @ UTA,W
22023,OKC,Oklahoma City Thunder,0022300070,2023-10-25,OKC @ CHI,W
22023,MEM,Memphis Grizzlies,0022300071,2023-10-25,MEM vs. NOP,L
22023,WAS,Washington Wizards,0022300064,2023-10-25,WAS @ IND,L
22023,DET,Detroit Pistons,0022300068,2023-10-25,DET @ MIA,L
22023,ATL,Atlanta Hawks,0022300063,2023-10-25,ATL @ CHA,L
22023,BOS,Boston Celtics,0022300065,2023-10-25,BOS @ NYK,W
22023,CLE,Cleveland Cavaliers,0022300067,2023-10-25,CLE @ BKN,W
22023,DAL,Dallas Mavericks,0022300073,2023-10-25,DAL @ SAS,W
22023,MIN,Minnesota Timberwolves,0022300069,2023-10-25,MIN @ TOR,L
22023,IND,Indiana Pacers,0022300064,2023-10-25,IND vs. WAS,W
22023,POR,Portland Trail Blazers,0022300074,2023-10-25,POR @ LAC,L
22023,SAS,San Antonio Spurs,0022300073,2023-10-25,SAS vs. DAL,L
22023,TOR,Toronto Raptors,0022300069,2023-10-25,TOR vs. MIN,W
22023,UTA,Utah Jazz,0022300072,2023-10-25,UTA vs. SAC,L
22023,CHA,Charlotte Hornets,0022300063,2023-10-25,CHA vs. ATL,W
22023,MIL,Milwaukee Bucks,0022300075,2023-10-26,MIL vs. PHI,W
22023,PHX,Phoenix Suns,0022300076,2023-10-26,PHX @ LAL,L
22023,LAL,Los Angeles Lakers,0022300076,2023-10-26,LAL vs. PHX,W
22023,PHI,Philadelphia 76ers,0022300075,2023-10-26,PHI @ MIL,L
22023,ATL,Atlanta Hawks,0022300079,2023-10-27,ATL vs. NYK,L
22023,CLE,Cleveland Cavaliers,0022300081,2023-10-27,CLE vs. OKC,L
22023,CHI,Chicago Bulls,0022300082,2023-10-27,CHI vs. TOR,W
22023,DAL,Dallas Mavericks,0022300084,2023-10-27,DAL vs. BKN,W
22023,DEN,Denver Nuggets,0022300078,2023-10-27,DEN @ MEM,W
22023,GSW,Golden State Warriors,0022300087,2023-10-27,GSW @ SAC,W
22023,LAC,LA Clippers,0022300085,2023-10-27,LAC @ UTA,L
22023,BKN,Brooklyn Nets,0022300084,2023-10-27,BKN @ DAL,L
22023,NYK,New York Knicks,0022300079,2023-10-27,NYK @ ATL,W
22023,ORL,Orlando Magic,0022300086,2023-10-27,ORL @ POR,W
22023,UTA,Utah Jazz,0022300085,2023-10-27,UTA vs. LAC,W
22023,MEM,Memphis Grizzlies,0022300078,2023-10-27,MEM vs. DEN,L
22023,DET,Detroit Pistons,0022300077,2023-10-27,DET @ CHA,W
22023,BOS,Boston Celtics,0022300080,2023-10-27,BOS vs. MIA,W
22023,HOU,Houston Rockets,0022300083,2023-10-27,HOU @ SAS,L
22023,MIA,Miami Heat,0022300080,2023-10-27,MIA @ BOS,L
22023,POR,Portland Trail Blazers,0022300086,2023-10-27,POR vs. ORL,L
22023,OKC,Oklahoma City Thunder,0022300081,2023-10-27,OKC @ CLE,W
22023,TOR,Toronto Raptors,0022300082,2023-10-27,TOR @ CHI,L
22023,CHA,Charlotte Hornets,0022300077,2023-10-27,CHA vs. DET,L
22023,SAC,Sacramento Kings,0022300087,2023-10-27,SAC vs. GSW,L
22023,SAS,San Antonio Spurs,0022300083,2023-10-27,SAS vs. HOU,W
22023,CLE,Cleveland Cavaliers,0022300091,2023-10-28,CLE vs. IND,L
22023,NOP,New Orleans Pelicans,0022300090,2023-10-28,NOP vs. NYK,W
22023,PHI,Philadelphia 76ers,0022300092,2023-10-28,PHI @ TOR,W
22023,PHX,Phoenix Suns,0022300094,2023-10-28,PHX vs. UTA,W
22023,DET,Detroit Pistons,0022300088,2023-10-28,DET vs. CHI,W
22023,CHI,Chicago Bulls,0022300088,2023-10-28,CHI @ DET,L
22023,MIA,Miami Heat,0022300093,2023-10-28,MIA @ MIN,L
22023,MIN,Minnesota Timberwolves,0022300093,2023-10-28,MIN vs. MIA,W
22023,NYK,New York Knicks,0022300090,2023-10-28,NYK @ NOP,L
22023,IND,Indiana Pacers,0022300091,2023-10-28,IND @ CLE,W
22023,TOR,Toronto Raptors,0022300092,2023-10-28,TOR vs. PHI,L
22023,UTA,Utah Jazz,0022300094,2023-10-28,UTA @ PHX,L
22023,MEM,Memphis Grizzlies,0022300089,2023-10-28,MEM @ WAS,L
22023,WAS,Washington Wizards,0022300089,2023-10-28,WAS vs. MEM,W
22023,GSW,Golden State Warriors,0022300096,2023-10-29,GSW @ HOU,W
22023,HOU,Houston Rockets,0022300096,2023-10-29,HOU vs. GSW,L
22023,LAL,Los Angeles Lakers,0022300100,2023-10-29,LAL @ SAC,L
22023,MIL,Milwaukee Bucks,0022300097,2023-10-29,MIL vs. ATL,L
22023,SAC,Sacramento Kings,0022300100,2023-10-29,SAC vs. LAL,W
22023,SAS,San Antonio Spurs,0022300099,2023-10-29,SAS @ LAC,L
22023,OKC,Oklahoma City Thunder,0022300095,2023-10-29,OKC vs. DEN,L
22023,ATL,Atlanta Hawks,0022300097,2023-10-29,ATL @ MIL,W
22023,DEN,Denver Nuggets,0022300095,2023-10-29,DEN @ OKC,W
22023,LAC,LA Clippers,0022300099,2023-10-29,LAC vs. SAS,W
22023,PHI,Philadelphia 76ers,0022300098,2023-10-29,PHI vs. POR,W
22023,POR,Portland Trail Blazers,0022300098,2023-10-29,POR @ PHI,L
22023,BOS,Boston Celtics,0022300103,2023-10-30,BOS @ WAS,W
22023,DAL,Dallas Mavericks,0022300106,2023-10-30,DAL @ MEM,W
22023,DEN,Denver Nuggets,0022300110,2023-10-30,DEN vs. UTA,W
22023,GSW,Golden State Warriors,0022300108,2023-10-30,GSW @ NOP,W
22023,MIN,Minnesota Timberwolves,0022300104,2023-10-30,MIN @ ATL,L
22023,BKN,Brooklyn Nets,0022300101,2023-10-30,BKN @ CHA,W
22023,IND,Indiana Pacers,0022300102,2023-10-30,IND vs. CHI,L
22023,OKC,Oklahoma City Thunder,0022300109,2023-10-30,OKC vs. DET,W
22023,TOR,Toronto Raptors,0022300105,2023-10-30,TOR vs. POR,L
22023,UTA,Utah Jazz,0022300110,2023-10-30,UTA @ DEN,L
22023,MEM,Memphis Grizzlies,0022300106,2023-10-30,MEM vs. DAL,L
22023,WAS,Washington Wizards,0022300103,2023-10-30,WAS vs. BOS,L
22023,DET,Detroit Pistons,0022300109,2023-10-30,DET @ OKC,L
22023,CHA,Charlotte Hornets,0022300101,2023-10-30,CHA vs. BKN,L
22023,ATL,Atlanta Hawks,0022300104,2023-10-30,ATL vs. MIN,W
22023,NOP,New Orleans Pelicans,0022300108,2023-10-30,NOP vs. GSW,L
22023,CHI,Chicago Bulls,0022300102,2023-10-30,CHI @ IND,W
22023,LAL,Los Angeles Lakers,0022300111,2023-10-30,LAL vs. ORL,W
22023,MIA,Miami Heat,0022300107,2023-10-30,MIA @ MIL,L
