SEASON_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL
52025,MIA,Miami Heat,0052500111,2026-04-14,MIA @ CHA,L
52025,PHX,Phoenix Suns,0052500121,2026-04-14,PHX vs. POR,L
52025,POR,Portland Trail Blazers,0052500121,2026-04-14,POR @ PHX,W
52025,CHA,Charlotte Hornets,0052500111,2026-04-14,CHA vs. MIA,W
52025,GSW,Golden State Warriors,0052500131,2026-04-15,GSW @ LAC,W
52025,LAC,LA Clippers,0052500131,2026-04-15,LAC vs. GSW,L
52025,ORL,Orlando Magic,0052500101,2026-04-15,ORL @ PHI,L
52025,PHI,Philadelphia 76ers,0052500101,2026-04-15,PHI vs. ORL,W
52025,GSW,Golden State Warriors,0052500211,2026-04-17,GSW @ PHX,L
52025,ORL,Orlando Magic,0052500201,2026-04-17,ORL vs. CHA,W
52025,PHX,Phoenix Suns,0052500211,2026-04-17,PHX vs. GSW,W
52025,CHA,Charlotte Hornets,0052500201,2026-04-17,CHA @ ORL,L
